Date;Open;High;Low;Close;Adj Close;Volume
02/09/2013;52.599998;53.150002;51.330002;52.5;52.5;58400
03/09/2013;53;53.169998;52.099998;52.110001;52.110001;59790
04/09/2013;52.200001;52.5;52.200001;52.41;52.41;2400
05/09/2013;52;53;52;52.860001;52.860001;5320
06/09/2013;52.900002;53.740002;52.810001;53.740002;53.740002;6670
09/09/2013;53.740002;54.779999;53.740002;54.009998;54.009998;9930
10/09/2013;54.060001;55.610001;54.060001;55.110001;55.110001;9200
11/09/2013;55;55.279999;54;54;54;9120
12/09/2013;54.5;55.169998;54.459999;54.529999;54.529999;2170
13/09/2013;54.34;54.799999;54.299999;54.799999;54.799999;9650
16/09/2013;55.27;55.27;54.740002;54.849998;54.849998;2490
17/09/2013;54.950001;55.139999;54.950001;55.080002;55.080002;5230
18/09/2013;55.099998;56.5;54;55.799999;55.799999;10920
19/09/2013;55.98;56.299999;55.720001;56;56;4200
20/09/2013;56;56.25;55.400002;55.459999;55.459999;3280
23/09/2013;56;56.25;55;55;55;5370
24/09/2013;56;56.25;55;55;55;4980
25/09/2013;55.669998;55.669998;54.5;54.5;54.5;1190
26/09/2013;55.23;55.669998;55.23;55.57;55.57;4460
27/09/2013;55.549999;56.029999;55.549999;55.98;55.98;2550
30/09/2013;55.549999;56.029999;54.950001;54.950001;54.950001;1980
01/10/2013;54.639999;55.349998;54.639999;55.07;55.07;2170
02/10/2013;55.07;55.509998;55.07;55.240002;55.240002;3730
03/10/2013;55.240002;55.450001;54.73;54.75;54.75;2500
04/10/2013;55.060001;55.16;54.889999;55.16;55.16;1510
07/10/2013;54.900002;55.130001;52.509998;55.009998;55.009998;9320
08/10/2013;55.040001;55.049999;54.540001;54.700001;54.700001;1310
09/10/2013;54.91;55.189999;54.709999;55.110001;55.110001;54300
10/10/2013;55.279999;55.669998;55.169998;55.669998;55.669998;2400
11/10/2013;55.5;55.799999;55.41;55.799999;55.799999;3150
14/10/2013;55.939999;56.57;55.900002;56.459999;56.459999;6880
15/10/2013;56.400002;56.650002;56.299999;56.380001;56.380001;2680
16/10/2013;56.369999;56.810001;56.369999;56.639999;56.639999;5780
17/10/2013;56.5;56.860001;56;56;56;4100
18/10/2013;56.990002;57.400002;56.950001;57.150002;57.150002;7180
21/10/2013;56.5;57.220001;56.5;57.139999;57.139999;7220
22/10/2013;56.110001;57.799999;56.110001;57.790001;57.790001;10350
23/10/2013;57.43;57.43;57.029999;57.029999;57.029999;2490
24/10/2013;56.5;57.150002;56.459999;56.73;56.73;11060
25/10/2013;56.5;56.77;56.5;56.5;56.5;19590
28/10/2013;56.82;56.830002;56.630001;56.830002;56.830002;6710
29/10/2013;57;57.07;56.619999;56.77;56.77;5320
30/10/2013;56.93;57;56.900002;56.900002;56.900002;1110
31/10/2013;56.5;57;56.5;57;57;3750
01/11/2013;57.150002;57.169998;56.77;56.950001;56.950001;2790
04/11/2013;57;57.220001;57;57.220001;57.220001;6830
05/11/2013;57.240002;57.240002;56.5;56.5;56.5;5850
06/11/2013;56.599998;56.599998;56.349998;56.400002;56.400002;3420
07/11/2013;56.630001;56.73;56.040001;56.040001;56.040001;2560
08/11/2013;55.810001;55.810001;55.02;55.5;55.5;7890
11/11/2013;54.02;55.509998;54.02;55.459999;55.459999;960
12/11/2013;55.580002;55.580002;54.689999;54.779999;54.779999;2020
13/11/2013;54.860001;55.130001;54.849998;55.130001;55.130001;3880
14/11/2013;55.75;56.220001;55.75;56.16;56.16;9130
18/11/2013;56.400002;56.5;56.220001;56.48;56.48;1660
19/11/2013;56.200001;56.200001;55;55;55;10120
21/11/2013;55;55.209999;54.98;55;55;3830
22/11/2013;53.5;55.09;53.5;55.09;55.09;3730
25/11/2013;53.099998;54.669998;53.099998;54.299999;54.299999;2640
26/11/2013;54.950001;54.990002;54.25;54.41;54.41;3800
27/11/2013;54.77;54.860001;54.5;54.82;54.82;4620
28/11/2013;54.82;55.380001;54.77;55;55;3220
29/11/2013;55.32;55.450001;55.040001;55.419998;55.419998;1310
02/12/2013;55.009998;55.529999;54.82;54.82;54.82;4070
03/12/2013;54.279999;54.5;53.709999;53.709999;53.709999;3150
04/12/2013;53.700001;53.939999;53.099998;53.099998;53.099998;2820
05/12/2013;53.700001;53.939999;53.099998;53.389999;53.389999;2690
06/12/2013;53.400002;53.970001;53.400002;53.73;53.73;1330
09/12/2013;53.610001;53.880001;53.099998;53.82;53.82;2380
10/12/2013;53.650002;53.650002;53.470001;53.470001;53.470001;610
11/12/2013;53.470001;53.470001;52.799999;52.799999;52.799999;740
12/12/2013;52.700001;52.799999;51.369999;52.470001;52.470001;6000
13/12/2013;52.849998;53;52.25;52.25;52.25;22700
16/12/2013;52.650002;53.029999;52.619999;52.779999;52.779999;2090
17/12/2013;52.810001;53;52.700001;52.700001;52.700001;1130
18/12/2013;52.779999;53.049999;52.349998;52.349998;52.349998;63860
19/12/2013;53.299999;53.610001;53.299999;53.610001;53.610001;1610
20/12/2013;53.549999;53.650002;53.41;53.41;53.41;1960
23/12/2013;53.75;53.75;53.5;53.630001;53.630001;1780
26/12/2013;53.549999;53.549999;53.48;53.48;53.48;1020
27/12/2013;53.48;53.700001;53.48;53.66;53.66;950
30/12/2013;53.68;54.139999;53.68;53.990002;53.990002;19550
02/01/2014;52.919998;54.029999;52.009998;53.419998;53.419998;22460
03/01/2014;53.439999;53.5;53.189999;53.189999;53.189999;230
06/01/2014;53;53;52.740002;52.779999;52.779999;800
07/01/2014;53.419998;53.529999;52.830002;52.869999;52.869999;1560
08/01/2014;52.869999;53.09;52.860001;53;53;2770
09/01/2014;52.700001;52.700001;51;51;51;4250
10/01/2014;51.029999;52.279999;51.029999;51.970001;51.970001;2760
13/01/2014;52.18;52.18;51.75;51.75;51.75;1580
14/01/2014;51.869999;52.299999;51.869999;52.299999;52.299999;1670
15/01/2014;52.299999;52.509998;52.299999;52.509998;52.509998;850
16/01/2014;52.700001;52.700001;52.02;52.200001;52.200001;3460
17/01/2014;51.119999;51.93;51.119999;51.599998;51.599998;23050
20/01/2014;51.599998;51.599998;51.150002;51.150002;51.150002;3460
21/01/2014;50.529999;51.5;50.529999;51.169998;51.169998;8750
22/01/2014;51.32;52.049999;51.32;52.040001;52.040001;1720
23/01/2014;51.990002;52.130001;51.009998;51.009998;51.009998;1720
24/01/2014;50.52;50.720001;50.060001;50.259998;50.259998;25350
27/01/2014;50.599998;50.599998;49.939999;50.529999;50.529999;35880
28/01/2014;49.849998;50.919998;49.849998;50.5;50.5;47750
29/01/2014;50.110001;50.110001;49.799999;50;50;3300
30/01/2014;48.98;50.060001;48.98;49.830002;49.830002;4290
31/01/2014;48.380001;50.09;48.380001;50.09;50.09;870
03/02/2014;49.700001;50.060001;48.740002;48.740002;48.740002;7940
04/02/2014;49.189999;49.849998;49.049999;49.779999;49.779999;3030
05/02/2014;49.700001;49.799999;49;49.049999;49.049999;6630
06/02/2014;49.599998;50.509998;49.5;50.419998;50.419998;2700
07/02/2014;50.560001;51;50.389999;50.48;50.48;1790
10/02/2014;50.450001;50.720001;50.23;50.310001;50.310001;1640
11/02/2014;50.330002;51.099998;50.330002;51.080002;51.080002;1580
12/02/2014;50.880001;50.880001;50.880001;50.880001;50.880001;0
13/02/2014;50.080002;50.299999;49.740002;50.299999;50.299999;2520
14/02/2014;50.689999;51.040001;50.689999;51.040001;51.040001;1890
17/02/2014;51.009998;51.169998;50.529999;50.529999;50.529999;2670
18/02/2014;49.5;50.599998;49.5;50.240002;50.240002;6630
19/02/2014;49.950001;50.240002;49.709999;50.240002;50.240002;1440
20/02/2014;50.220001;50.220001;50.200001;50.200001;50.200001;4300
21/02/2014;51;51;50.490002;50.490002;50.490002;760
24/02/2014;50.720001;50.75;50.490002;50.75;50.75;2140
25/02/2014;50.200001;50.349998;49.98;50.119999;50.119999;5370
26/02/2014;50.330002;50.330002;50.330002;50.330002;50.330002;80
27/02/2014;50.400002;51.349998;50.400002;51.25;51.25;2740
